,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query,type_,tech,min_size,lifetime,raised_month,k_raised,m_raised,b_raised,latitude,longitude,address
1964,2017-02-01,startup,https://angel.co/empirical-systems,cambridge,data,empirical systems,ai for structured data,,1-10,,empirical.com,machine learning,startup,python,1,25,,,,,52.2034823,0.1235817,
1965,2016-08-01,startup,https://angel.co/my90,silicon valley,governments,my90,improving policing through data and communications,,1-10,,textmy90.com,machine learning,startup,python,1,31,,,,,37.4429964,-122.1545229,
1966,2013-10-01,startup,https://angel.co/unata,toronto,loyalty programs,unata,1 to 1 omni commerce solutions for retailers,,51-200,,unata.com,machine learning,startup,python,51,65,,,,,43.653963,-79.387207,
1967,2012-02-01,startup,https://angel.co/news360,vancouver,apps,news360,intelligent content filtering & discovery,,11-50,,news360.com,machine learning,startup,python,11,85,,,,,49.2608724,-123.1139529,
1968,2012-03-01,startup,https://angel.co/infinigraph,menlo park,deep learning,infinigraph,kraken video deep learning,,1-10,,InfiniGraph.com,machine learning,startup,python,1,84,,,,,37.4538274,-122.1821871,
1969,2013-03-01,startup,https://angel.co/eddefy,california,reviews and recommendations,eddefy,personalized toolkit for connected learning,,1-10,,eddefy.com,machine learning,startup,python,1,72,,,,,36.7014631,-118.7559974,
1970,2013-06-01,startup,https://angel.co/enfind,mountain view,semantic search,enfind,context aware knowledge discovery,,1-10,,enfind.com,machine learning,startup,python,1,69,,,,,37.3893889,-122.0832101,
1971,2014-03-01,startup,https://angel.co/blueperch,vancouver,machine learning,blueperch,where jobs find you,,1-10,,blueperch.co,machine learning,startup,python,1,60,,,,,49.2608724,-123.1139529,
1972,2015-04-01,startup,https://angel.co/indeni,san francisco,crowdsourcing,indeni,indeni makes it easy to manage the infrastructure of digital businesses.,10000000.0,11-50,,indeni.com,machine learning,startup,python,11,47,212765.95744680852,10000.0,10.0,0.01,37.7792808,-122.4192363,
1973,2015-06-01,startup,https://angel.co/tablo-inc,san francisco,ecommerce,editr,matchmaking style inspiration with shopping.,,1-10,,editr.com,machine learning,startup,python,1,45,,,,,37.7792808,-122.4192363,
1974,2015-03-01,startup,https://angel.co/dataquest,san francisco,machine learning,dataquest,learn data science online by building projects.,,11-50,,dataquest.io,machine learning,startup,python,11,48,,,,,37.7792808,-122.4192363,
1975,2017-04-01,startup,https://angel.co/bayonet,mexico,fraud detection,bayonet,,,1-10,,bayonet.io,machine learning,startup,python,1,23,,,,,19.4326009,-99.1333416,
1976,2012-11-01,startup,https://angel.co/connectbright,san francisco,b2b,connectbright,business leads matching marketplace,,1-10,,connectbright.com,machine learning,startup,python,1,76,,,,,37.7792808,-122.4192363,
1977,2013-09-01,startup,https://angel.co/algorithms-io,mountain view,developer apis,algorithms.io,machine learning as a service for connected devices,,1-10,,algorithms.io,machine learning,startup,python,1,66,,,,,37.3893889,-122.0832101,
1978,2013-03-01,startup,https://angel.co/datamyze,san francisco,big data analytics,datamyze,simplifying business intelligence for everyone.,,1-10,,datamyze.com,machine learning,startup,python,1,72,,,,,37.7792808,-122.4192363,
1979,2013-03-01,startup,https://angel.co/hiplead,san francisco,lead generation,hiplead,sales development as a service ~ we help companies scale their sales.,,11-50,,hiplead.com,machine learning,startup,python,11,72,,,,,37.7792808,-122.4192363,
1980,2013-03-01,startup,https://angel.co/meiji123,beijing,social media,meiji123,marketing automation one stop shop for local,,11-50,,meiji123.com,machine learning,startup,python,11,72,,,,,39.906217,116.3912757,
1981,2015-02-01,startup,https://angel.co/calvin-9,new york city,messaging,calvin,more plans. less planning.,,1-10,,calvinapp.com,machine learning,startup,python,1,49,,,,,40.7308619,-73.9871558,
1982,2014-01-01,startup,https://angel.co/jobscan,seattle,consumer,jobscan,analyze how well your resume matches a job in two seconds,,11-50,,jobscan.co,machine learning,startup,python,11,62,,,,,47.6038321,-122.3300624,
1983,2014-02-01,startup,https://angel.co/be-limitless,silicon valley,productivity software,limitless,intelligent cross device continuity,12000.0,1-10,,angel.co,machine learning,startup,python,1,61,196.72131147540983,12.0,0.012,1.2e-05,37.4429964,-122.1545229,
1984,2015-06-01,startup,https://angel.co/tvrunway,new york city,online video advertising,tvrunway,tvrunway uses machine learning to match clothes in a video with 300+ retailers.,,1-10,,tvrunwayit.com,machine learning,startup,python,1,45,,,,,40.7308619,-73.9871558,
1985,2015-08-01,startup,https://angel.co/interloop-ai,charlotte,sales automation,interloop,sales execution platform powered by ibm watson,,1-10,,interloop.ai,machine learning,startup,python,1,43,,,,,35.2270869,-80.8431268,
1986,2015-10-01,startup,https://angel.co/hirekeep,washington dc,technology,hirekeep,recruiting tool utilizing machine learning,,11-50,,hirekeep.com,machine learning,startup,python,11,41,,,,,38.8950092,-77.0365625,
